mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,match_source
1001795,Airport Speciality Clinic,Addis Ababa City Administration,ikY6Z6Ow2nH,Ethiopian Airports Enterprise Medical Service,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001810,Alatyon General  Hospital,Sidama Region,J9HO2bnqTO5,Alatiyon General Hospital,Sidama Regional Health Bureau,1.0,existing_dhis2_id
1001826,Alemtena Speciality Clinic,Addis Ababa City Administration,T8Ljae617Jw,Alemtena Interanal MedicineSpecialty Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001833,Alpha Cardiac Specialty Clinic,Addis Ababa City Administration,MZvhQeoDCTg,Alfa Cardiovascular Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001841,Amaga Primary Clinic,Addis Ababa City Administration,uTO8fc43DWl,Amaga Primary Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001852,Ambassador Dental Specialty Clinic,Addis Ababa City Administration,DIMw4qc3klC,Ambassador Dental Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001871,Amir nuir Health Center,Harari Region,fXIjlkDvoBl,Amir Nur Health Center,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001881,Andinet Primary Clinic,Addis Ababa City Administration,J8M3KDsu4gw,Andinet Primary clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001882,Andnet Primary Clinic,Addis Ababa City Administration,PX0hz5dXUm9,Andnet Primary Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1001911,Arategna Health Center,Harari Region,kvsADjgPtU1,Arategna Health Center,Harari Regional Health Bureau,1.0,existing_dhis2_id
1001941,Arsi Negele Primary Hospital,Oromia Region,vbheagfDGAO,Arsi Negele Primary Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1001956,Ashiko Midium Clinic,Sidama Region,yumr9p4TEBL,Ashiko Clinic,Sidama Regional Health Bureau,1.0,existing_dhis2_id
1001979,Awash Obstetric and Gynecology  Clinic,Harari Region,YsSxpMvVhqf,Awash Obstetrics and  Gynecology Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1002004,Kayub Medium Clinic,Addis Ababa City Administration,KoGbdXkdxmC,Ayub Medium clininc,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002051,Bedeno Primary Hospital,Oromia Region,T7u2ZudoMYP,Bedeno Primary Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1002062,Balegesgar Primary Hospital,Oromia Region,O8CKqVgDKKY,Belegesgar Primary Hospital,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
1002098,Betel Medium Clinic,Gambella Region,FswWwXdQmXG,Betel Medium Clinic,Gambella Regional Health Bureau,1.0,existing_dhis2_id
1002100,Bete Raey Medium Clinic,Gambella Region,HXbTzrHy7ys,Bete Raey Medium Clinic,Gambella Regional Health Bureau,1.0,existing_dhis2_id
1002102,Bete Sahel Medium Clinic,Addis Ababa City Administration,XfEQNFQWW4b,Bete Sahel Midium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002120,Beza Dental Specialty Clinic,Addis Ababa City Administration,cVSFs46KwRi,Beza Dental Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002123,Beza Medium Clinic,Addis Ababa City Administration,A2PGRq2l3E4,Beza Medium Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002138,Beham Pediatric Specialty Clinic,Addis Ababa City Administration,G4sn1DjCx96,Biham pediatric Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002155,Berhan Medium Clinic,Addis Ababa City Administration,WZ9xHHiAJDJ,Birhan Internal Medicine Speciality Clinic,Addis Ababa Regional Health Bureau,1.0,existing_dhis2_id
1002163,Bishan Dema Medium Clinic,Harari Region,SrhNaRdhnnH,Bishan Dima Medium Clinic,Harari Regional Health Bureau,1.0,existing_dhis2_id
1002166,Bishoftu Health Center,Oromia Region,EZagne8tvPm,Bishoftu Health Center,Oromiya Regional Health Bureau,1.0,existing_dhis2_id
